instance,distance,vehicle_count,fill_rate,time_elapsed
3l_cvrp01.txt,336.42684703816974,5,0.4283377777777778,60.98894238471985
3l_cvrp02.txt,355.86424051540007,6,0.2768333333333333,60.15282106399536
3l_cvrp03.txt,445.09945439916083,5,0.4481466666666667,60.32752561569214
3l_cvrp04.txt,492.9358363097399,7,0.31590476190476185,62.93030285835266
3l_cvrp05.txt,517.9238265907047,7,0.4192571428571429,61.499186992645264
3l_cvrp06.txt,641.5040122668767,7,0.3190857142857143,60.59040665626526
3l_cvrp07.txt,838.4807102986244,5,0.5722888888888888,63.331706523895264
3l_cvrp08.txt,1019.4362144387879,5,0.5659733333333333,60.70424222946167
3l_cvrp09.txt,767.5920027575382,10,0.3614777777777778,60.696229457855225
3l_cvrp10.txt,1089.4931886855557,8,0.5024694444444444,70.65951895713806
3l_cvrp11.txt,1140.4615269884341,8,0.4845111111111111,69.2613480091095
3l_cvrp12.txt,773.5967732962961,11,0.3607010101010101,61.30970549583435
3l_cvrp13.txt,3640.6977066522268,8,0.4698472222222222,76.68540596961975
3l_cvrp14.txt,1805.8783057354328,9,0.5035802469135802,61.80072593688965
3l_cvrp15.txt,1646.5117852744493,8,0.5435861111111111,91.9461658000946
3l_cvrp16.txt,967.9284782235129,12,0.3106611111111111,61.581379413604736
3l_cvrp18.txt,2140.7856260387907,11,0.5386545454545455,99.8609983921051
3l_cvrp19.txt,1173.2582899627878,11,0.5544989898989899,63.36678981781006
3l_cvrp21.txt,2042.8636233932382,17,0.5381960784313725,429.61935353279114
3l_cvrp23.txt,2461.218152712796,19,0.49589005847953216,110.79359984397888
3l_cvrp25.txt,2665.0987216522117,24,0.4961138888888889,1082.9336142539978
3l_cvrp26.txt,3201.757518480492,30,0.4496140740740741,643.4807033538818
